Date,Operating System Types,Visits
23-Mar-16,Microsoft Windows Phone/Mobile,46
23-Mar-16,Blackberry,24
23-Mar-16,Nokia,23
23-Mar-16,Other,18
24-Mar-16,GNU/Linux,24800
24-Mar-16,Microsoft Windows,17638
24-Mar-16,Apple Macintosh,3289
24-Mar-16,Apple iOS,2581
24-Mar-16,Google Android,2386
24-Mar-16,Microsoft Windows Phone/Mobile,60
24-Mar-16,Chrome OS,45
24-Mar-16,Other,28
24-Mar-16,Blackberry,22
24-Mar-16,Nokia,20
25-Mar-16,Microsoft Windows,11631
25-Mar-16,GNU/Linux,5217
25-Mar-16,Apple Macintosh,2106
25-Mar-16,Google Android,1689
25-Mar-16,Apple iOS,1681
25-Mar-16,Microsoft Windows Phone/Mobile,51
25-Mar-16,Chrome OS,36
25-Mar-16,Nokia,25
25-Mar-16,Blackberry,17
25-Mar-16,Other,17
26-Mar-16,Microsoft Windows,5941
26-Mar-16,GNU/Linux,2525
26-Mar-16,Google Android,1392
26-Mar-16,Apple iOS,1103
26-Mar-16,Apple Macintosh,1098
26-Mar-16,Microsoft Windows Phone/Mobile,46
26-Mar-16,Nokia,20
26-Mar-16,Chrome OS,16
26-Mar-16,Other,12
26-Mar-16,Blackberry,10
27-Mar-16,Microsoft Windows,7013
27-Mar-16,GNU/Linux,2499
27-Mar-16,Apple iOS,1460
27-Mar-16,Google Android,1377
27-Mar-16,Apple Macintosh,1255
27-Mar-16,Microsoft Windows Phone/Mobile,42
27-Mar-16,Nokia,19
27-Mar-16,Chrome OS,19
27-Mar-16,Other,16
27-Mar-16,Blackberry,8
28-Mar-16,Microsoft Windows,15852
28-Mar-16,GNU/Linux,6875
28-Mar-16,Apple Macintosh,2698
28-Mar-16,Google Android,1400
28-Mar-16,Apple iOS,1214
28-Mar-16,Microsoft Windows Phone/Mobile,41
28-Mar-16,Chrome OS,33
28-Mar-16,Nokia,19
28-Mar-16,Other,14
28-Mar-16,Blackberry,13
29-Mar-16,Microsoft Windows,20610
29-Mar-16,GNU/Linux,8422
29-Mar-16,Apple Macintosh,3614
29-Mar-16,Apple iOS,2016
29-Mar-16,Google Android,1592
29-Mar-16,Microsoft Windows Phone/Mobile,56
29-Mar-16,Chrome OS,41
29-Mar-16,Blackberry,21
29-Mar-16,Other,15
29-Mar-16,Nokia,13
30-Mar-16,Microsoft Windows,19964
30-Mar-16,GNU/Linux,8599
30-Mar-16,Apple Macintosh,3513
30-Mar-16,Google Android,1745
30-Mar-16,Apple iOS,1638
30-Mar-16,Microsoft Windows Phone/Mobile,55
30-Mar-16,Chrome OS,39
30-Mar-16,Nokia,28
30-Mar-16,Other,18
30-Mar-16,Blackberry,13
31-Mar-16,Microsoft Windows,19387
31-Mar-16,GNU/Linux,8136
31-Mar-16,Apple Macintosh,3719
31-Mar-16,Apple iOS,2413
31-Mar-16,Google Android,2115
31-Mar-16,Microsoft Windows Phone/Mobile,63
31-Mar-16,Chrome OS,42
31-Mar-16,Nokia,25
31-Mar-16,Blackberry,22
31-Mar-16,Other,14
1-Apr-16,Microsoft Windows,19627
1-Apr-16,GNU/Linux,9272
1-Apr-16,Apple Macintosh,4315
1-Apr-16,Google Android,3174
1-Apr-16,Apple iOS,2575
1-Apr-16,Microsoft Windows Phone/Mobile,104
1-Apr-16,Chrome OS,40
