Date,Device,Visits
17-Apr-16,Desktop,41
17-Apr-16,Mobile,8
17-Apr-16,Tablet,1
18-Apr-16,Desktop,138
18-Apr-16,Mobile,9
18-Apr-16,Tablet,1
19-Apr-16,Desktop,141
19-Apr-16,Mobile,6
19-Apr-16,Tablet,0
20-Apr-16,Desktop,139
20-Apr-16,Mobile,8
20-Apr-16,Tablet,0
21-Apr-16,Desktop,119
21-Apr-16,Mobile,3
21-Apr-16,Tablet,1
22-Apr-16,Desktop,91
22-Apr-16,Mobile,3
22-Apr-16,Tablet,2
23-Apr-16,Desktop,43
23-Apr-16,Mobile,2
23-Apr-16,Tablet,0
24-Apr-16,Desktop,19
24-Apr-16,Mobile,3
24-Apr-16,Tablet,0
25-Apr-16,Desktop,121
25-Apr-16,Mobile,4
25-Apr-16,Tablet,0
26-Apr-16,Desktop,134
26-Apr-16,Mobile,8
26-Apr-16,Tablet,0
27-Apr-16,Desktop,172
27-Apr-16,Mobile,12
27-Apr-16,Tablet,1
28-Apr-16,Desktop,127
28-Apr-16,Mobile,12
28-Apr-16,Tablet,1
29-Apr-16,Desktop,141
29-Apr-16,Mobile,9
29-Apr-16,Tablet,1
30-Apr-16,Desktop,18
30-Apr-16,Mobile,3
30-Apr-16,Tablet,2
1-May-16,Desktop,35
1-May-16,Mobile,5
1-May-16,Tablet,2
2-May-16,Desktop,113
2-May-16,Mobile,11
2-May-16,Tablet,1
3-May-16,Desktop,160
3-May-16,Mobile,8
3-May-16,Tablet,1
4-May-16,Desktop,160
4-May-16,Mobile,5
4-May-16,Tablet,0
5-May-16,Desktop,105
5-May-16,Mobile,9
5-May-16,Tablet,1
6-May-16,Desktop,93
6-May-16,Mobile,10
6-May-16,Tablet,0
7-May-16,Desktop,18
7-May-16,Mobile,3
7-May-16,Tablet,3
8-May-16,Desktop,25
8-May-16,Mobile,2
8-May-16,Tablet,0
9-May-16,Desktop,110
9-May-16,Mobile,3
9-May-16,Tablet,1
10-May-16,Desktop,156
10-May-16,Mobile,5
10-May-16,Tablet,1
11-May-16,Desktop,148
11-May-16,Mobile,6
11-May-16,Tablet,1
12-May-16,Desktop,178
12-May-16,Mobile,8
12-May-16,Tablet,3
13-May-16,Desktop,125
13-May-16,Mobile,9
13-May-16,Tablet,0
14-May-16,Desktop,21
14-May-16,Mobile,4
14-May-16,Tablet,1
15-May-16,Desktop,26
15-May-16,Mobile,3
15-May-16,Tablet,0
16-May-16,Desktop,123
16-May-16,Mobile,2
16-May-16,Tablet,1
17-May-16,Desktop,137
17-May-16,Mobile,10
17-May-16,Tablet,0
18-May-16,Desktop,213
18-May-16,Mobile,5
18-May-16,Tablet,2
