Date,Browser Type,Visits
28-Mar-16,Apple,13664
28-Mar-16,Other,1122
28-Mar-16,Opera,549
28-Mar-16,UC Web,333
28-Mar-16,Yandex,257
28-Mar-16,BlackBerry,57
28-Mar-16,Amazon,51
29-Mar-16,Google,135801
29-Mar-16,Mozilla,72781
29-Mar-16,Microsoft,25055
29-Mar-16,Apple,16602
29-Mar-16,Other,1218
29-Mar-16,Opera,607
29-Mar-16,UC Web,367
29-Mar-16,Yandex,248
29-Mar-16,BlackBerry,86
29-Mar-16,Amazon,52
30-Mar-16,Google,132345
30-Mar-16,Mozilla,72883
30-Mar-16,Microsoft,23536
30-Mar-16,Apple,14339
30-Mar-16,Other,1167
30-Mar-16,Opera,646
30-Mar-16,UC Web,360
30-Mar-16,Yandex,210
30-Mar-16,BlackBerry,62
30-Mar-16,Amazon,36
31-Mar-16,Google,128832
31-Mar-16,Mozilla,69704
31-Mar-16,Microsoft,22942
31-Mar-16,Apple,15249
31-Mar-16,Other,1148
31-Mar-16,Opera,658
31-Mar-16,UC Web,315
31-Mar-16,Yandex,280
31-Mar-16,BlackBerry,69
31-Mar-16,Amazon,35
1-Apr-16,Google,149489
1-Apr-16,Mozilla,69600
1-Apr-16,Apple,20645
1-Apr-16,Microsoft,20411
1-Apr-16,Other,1452
1-Apr-16,Opera,701
1-Apr-16,UC Web,460
1-Apr-16,Yandex,232
1-Apr-16,BlackBerry,114
1-Apr-16,Amazon,72
2-Apr-16,Google,72023
2-Apr-16,Mozilla,26636
2-Apr-16,Apple,11311
2-Apr-16,Microsoft,5230
2-Apr-16,Other,985
2-Apr-16,UC Web,647
2-Apr-16,Opera,645
2-Apr-16,Yandex,198
2-Apr-16,BlackBerry,50
2-Apr-16,Amazon,44
3-Apr-16,Google,69352
3-Apr-16,Mozilla,25911
3-Apr-16,Apple,9764
3-Apr-16,Microsoft,7211
3-Apr-16,Other,828
3-Apr-16,Opera,539
3-Apr-16,UC Web,400
3-Apr-16,Yandex,201
3-Apr-16,Amazon,46
3-Apr-16,BlackBerry,43
4-Apr-16,Google,148452
4-Apr-16,Mozilla,73989
4-Apr-16,Microsoft,24895
4-Apr-16,Apple,14530
4-Apr-16,Other,1171
4-Apr-16,Opera,627
4-Apr-16,UC Web,414
4-Apr-16,Yandex,318
4-Apr-16,BlackBerry,66
4-Apr-16,Amazon,39
5-Apr-16,Google,147266
5-Apr-16,Mozilla,76683
5-Apr-16,Microsoft,25899
5-Apr-16,Apple,15034
5-Apr-16,Other,1317
5-Apr-16,Opera,642
5-Apr-16,UC Web,501
5-Apr-16,Yandex,343
5-Apr-16,BlackBerry,63
5-Apr-16,Amazon,52
6-Apr-16,Google,141006
6-Apr-16,Mozilla,76197
6-Apr-16,Microsoft,26350
6-Apr-16,Apple,16475
6-Apr-16,Other,1302
6-Apr-16,Opera,661
6-Apr-16,UC Web,449
6-Apr-16,Yandex,284
6-Apr-16,BlackBerry,83
6-Apr-16,Amazon,51
7-Apr-16,Google,132684
7-Apr-16,Mozilla,73321
7-Apr-16,Microsoft,24601
7-Apr-16,Apple,14748
7-Apr-16,Other,1267
7-Apr-16,Opera,647
7-Apr-16,UC Web,434
7-Apr-16,Yandex,264
7-Apr-16,BlackBerry,57
7-Apr-16,Amazon,56
8-Apr-16,Google,106517
8-Apr-16,Mozilla,60412
8-Apr-16,Microsoft,18258
8-Apr-16,Apple,12485
8-Apr-16,Other,1093
8-Apr-16,Opera,507
8-Apr-16,UC Web,368
8-Apr-16,Yandex,220
8-Apr-16,BlackBerry,63
8-Apr-16,Amazon,42
9-Apr-16,Google,46914
9-Apr-16,Mozilla,22423
9-Apr-16,Apple,8757
9-Apr-16,Microsoft,4505
9-Apr-16,Other,931
9-Apr-16,Opera,499
9-Apr-16,UC Web,442
9-Apr-16,Yandex,158
9-Apr-16,Amazon,55
9-Apr-16,BlackBerry,39
10-Apr-16,Google,55054
10-Apr-16,Mozilla,24827
10-Apr-16,Apple,8995
10-Apr-16,Microsoft,6836
10-Apr-16,Other,991
10-Apr-16,Opera,442
10-Apr-16,UC Web,432
10-Apr-16,Yandex,179
10-Apr-16,BlackBerry,57
10-Apr-16,Amazon,43
11-Apr-16,Google,133825
11-Apr-16,Mozilla,73499
11-Apr-16,Microsoft,24725
11-Apr-16,Apple,13769
11-Apr-16,Other,1227
11-Apr-16,Opera,612
11-Apr-16,UC Web,361
11-Apr-16,Yandex,220
11-Apr-16,BlackBerry,61
11-Apr-16,Amazon,32
12-Apr-16,Google,139255
12-Apr-16,Mozilla,76843
12-Apr-16,Microsoft,26854
12-Apr-16,Apple,15488
12-Apr-16,Other,1304
12-Apr-16,Opera,600
12-Apr-16,UC Web,416
12-Apr-16,Yandex,244
12-Apr-16,BlackBerry,78
12-Apr-16,Amazon,42
13-Apr-16,Google,136617
13-Apr-16,Mozilla,75482
13-Apr-16,Microsoft,26902
13-Apr-16,Apple,14951
13-Apr-16,Other,1267
13-Apr-16,Opera,643
13-Apr-16,UC Web,360
13-Apr-16,Yandex,224
13-Apr-16,BlackBerry,73
13-Apr-16,Amazon,35
14-Apr-16,Google,131596
14-Apr-16,Mozilla,72403
14-Apr-16,Microsoft,25584
14-Apr-16,Apple,13972
14-Apr-16,Other,1227
14-Apr-16,Opera,571
14-Apr-16,UC Web,325
14-Apr-16,Yandex,232
14-Apr-16,BlackBerry,62
14-Apr-16,Amazon,44
15-Apr-16,Google,109893
15-Apr-16,Mozilla,60403
15-Apr-16,Microsoft,18467
15-Apr-16,Apple,12098
15-Apr-16,Other,1047
15-Apr-16,Opera,540
15-Apr-16,UC Web,345
15-Apr-16,Yandex,244
15-Apr-16,BlackBerry,49
15-Apr-16,Amazon,34
16-Apr-16,Google,45791
16-Apr-16,Mozilla,21714
16-Apr-16,Apple,8408
16-Apr-16,Microsoft,4592
16-Apr-16,Other,916
16-Apr-16,Opera,438
