Date,OS,Visits
31-Mar-16,Other,108
31-Mar-16,UNIX,95
31-Mar-16,Blackberry,84
1-Apr-16,Microsoft Windows,154247
1-Apr-16,GNU/Linux,46035
1-Apr-16,Apple Macintosh,29861
1-Apr-16,Google Android,18631
1-Apr-16,Apple iOS,13236
1-Apr-16,Microsoft Windows Phone/Mobile,530
1-Apr-16,Chrome OS,263
1-Apr-16,Other,141
1-Apr-16,Blackberry,126
1-Apr-16,Nokia,99
2-Apr-16,Microsoft Windows,64805
2-Apr-16,GNU/Linux,18487
2-Apr-16,Apple Macintosh,13227
2-Apr-16,Google Android,12778
2-Apr-16,Apple iOS,7659
2-Apr-16,Microsoft Windows Phone/Mobile,296
2-Apr-16,Chrome OS,221
2-Apr-16,Other,113
2-Apr-16,Nokia,106
2-Apr-16,Blackberry,64
3-Apr-16,Microsoft Windows,68266
3-Apr-16,GNU/Linux,17799
3-Apr-16,Apple Macintosh,11798
3-Apr-16,Google Android,9686
3-Apr-16,Apple iOS,6096
3-Apr-16,Microsoft Windows Phone/Mobile,216
3-Apr-16,Chrome OS,200
3-Apr-16,Nokia,96
3-Apr-16,Other,82
3-Apr-16,Blackberry,50
4-Apr-16,Microsoft Windows,175465
4-Apr-16,GNU/Linux,43439
4-Apr-16,Apple Macintosh,27032
4-Apr-16,Google Android,10555
4-Apr-16,Apple iOS,7234
4-Apr-16,Microsoft Windows Phone/Mobile,227
4-Apr-16,Chrome OS,220
4-Apr-16,Other,131
4-Apr-16,Nokia,105
4-Apr-16,UNIX,97
5-Apr-16,Microsoft Windows,176505
5-Apr-16,GNU/Linux,43915
5-Apr-16,Apple Macintosh,28323
5-Apr-16,Google Android,10761
5-Apr-16,Apple iOS,7521
5-Apr-16,Chrome OS,248
5-Apr-16,Microsoft Windows Phone/Mobile,201
5-Apr-16,Other,137
5-Apr-16,Nokia,91
5-Apr-16,UNIX,87
6-Apr-16,Microsoft Windows,169486
6-Apr-16,GNU/Linux,43268
6-Apr-16,Apple Macintosh,28883
6-Apr-16,Google Android,11611
6-Apr-16,Apple iOS,8756
6-Apr-16,Microsoft Windows Phone/Mobile,242
6-Apr-16,Chrome OS,230
6-Apr-16,Other,135
6-Apr-16,Nokia,107
6-Apr-16,Blackberry,103
7-Apr-16,Microsoft Windows,160516
7-Apr-16,GNU/Linux,41598
7-Apr-16,Apple Macintosh,27036
7-Apr-16,Google Android,10773
7-Apr-16,Apple iOS,7426
7-Apr-16,Chrome OS,213
7-Apr-16,Microsoft Windows Phone/Mobile,205
7-Apr-16,Other,108
7-Apr-16,UNIX,105
7-Apr-16,Nokia,87
8-Apr-16,Microsoft Windows,124903
8-Apr-16,GNU/Linux,35759
8-Apr-16,Apple Macintosh,22580
8-Apr-16,Google Android,9547
8-Apr-16,Apple iOS,6539
8-Apr-16,Microsoft Windows Phone/Mobile,179
8-Apr-16,Chrome OS,178
8-Apr-16,Other,116
8-Apr-16,Nokia,100
8-Apr-16,Blackberry,76
9-Apr-16,Microsoft Windows,43444
9-Apr-16,GNU/Linux,16273
9-Apr-16,Apple Macintosh,10191
9-Apr-16,Google Android,8708
9-Apr-16,Apple iOS,5604
9-Apr-16,Microsoft Windows Phone/Mobile,158
9-Apr-16,Chrome OS,135
9-Apr-16,Other,103
9-Apr-16,Nokia,81
9-Apr-16,Blackberry,49
10-Apr-16,Microsoft Windows,53013
10-Apr-16,GNU/Linux,17031
10-Apr-16,Apple Macintosh,12645
10-Apr-16,Google Android,8728
10-Apr-16,Apple iOS,5857
10-Apr-16,Microsoft Windows Phone/Mobile,194
10-Apr-16,Chrome OS,166
10-Apr-16,Nokia,87
10-Apr-16,Other,84
10-Apr-16,Blackberry,64
11-Apr-16,Microsoft Windows,160407
11-Apr-16,GNU/Linux,42328
11-Apr-16,Apple Macintosh,28582
11-Apr-16,Google Android,9659
11-Apr-16,Apple iOS,6584
11-Apr-16,Microsoft Windows Phone/Mobile,247
11-Apr-16,Chrome OS,209
11-Apr-16,Other,124
11-Apr-16,UNIX,94
11-Apr-16,Nokia,77
12-Apr-16,Microsoft Windows,168442
12-Apr-16,GNU/Linux,43602
12-Apr-16,Apple Macintosh,29361
12-Apr-16,Google Android,10982
12-Apr-16,Apple iOS,7924
12-Apr-16,Microsoft Windows Phone/Mobile,257
12-Apr-16,Chrome OS,230
12-Apr-16,Other,117
12-Apr-16,UNIX,102
12-Apr-16,Nokia,89
13-Apr-16,Microsoft Windows,166364
13-Apr-16,GNU/Linux,42536
13-Apr-16,Apple Macintosh,28499
13-Apr-16,Google Android,10651
13-Apr-16,Apple iOS,7715
13-Apr-16,Chrome OS,236
13-Apr-16,Microsoft Windows Phone/Mobile,203
13-Apr-16,Other,116
13-Apr-16,UNIX,101
13-Apr-16,Nokia,91
14-Apr-16,Microsoft Windows,160213
14-Apr-16,GNU/Linux,40625
14-Apr-16,Apple Macintosh,27130
14-Apr-16,Google Android,10069
14-Apr-16,Apple iOS,7403
14-Apr-16,Microsoft Windows Phone/Mobile,207
14-Apr-16,Chrome OS,182
14-Apr-16,Other,114
14-Apr-16,Nokia,97
14-Apr-16,UNIX,97
15-Apr-16,Microsoft Windows,129352
15-Apr-16,GNU/Linux,34977
15-Apr-16,Apple Macintosh,22622
15-Apr-16,Google Android,9187
15-Apr-16,Apple iOS,6317
15-Apr-16,Microsoft Windows Phone/Mobile,193
15-Apr-16,Chrome OS,171
15-Apr-16,Other,122
15-Apr-16,UNIX,96
15-Apr-16,Nokia,90
16-Apr-16,Microsoft Windows,42935
16-Apr-16,GNU/Linux,15131
16-Apr-16,Apple Macintosh,9470
16-Apr-16,Google Android,8743
16-Apr-16,Apple iOS,5664
16-Apr-16,Chrome OS,171
16-Apr-16,Microsoft Windows Phone/Mobile,142
16-Apr-16,Other,109
16-Apr-16,Nokia,95
16-Apr-16,Blackberry,50
17-Apr-16,Microsoft Windows,52818
17-Apr-16,GNU/Linux,15806
17-Apr-16,Apple Macintosh,10905
17-Apr-16,Google Android,8786
17-Apr-16,Apple iOS,5401
17-Apr-16,Microsoft Windows Phone/Mobile,159
17-Apr-16,Chrome OS,158
17-Apr-16,Other,98
17-Apr-16,Nokia,81
17-Apr-16,Blackberry,55
18-Apr-16,Microsoft Windows,162209
18-Apr-16,GNU/Linux,41513
18-Apr-16,Apple Macintosh,27376
18-Apr-16,Google Android,10019
18-Apr-16,Apple iOS,6626
18-Apr-16,Chrome OS,208
18-Apr-16,Microsoft Windows Phone/Mobile,190
18-Apr-16,UNIX,114
18-Apr-16,Other,113
18-Apr-16,Nokia,94
19-Apr-16,Microsoft Windows,171527
19-Apr-16,GNU/Linux,43651
19-Apr-16,Apple Macintosh,28936
19-Apr-16,Google Android,11737
19-Apr-16,Apple iOS,9002
19-Apr-16,Other,635
19-Apr-16,Chrome OS,253
19-Apr-16,Microsoft Windows Phone/Mobile,231
19-Apr-16,UNIX,130
19-Apr-16,Nokia,114
20-Apr-16,Microsoft Windows,164657
20-Apr-16,GNU/Linux,42941
20-Apr-16,Apple Macintosh,28018
20-Apr-16,Google Android,11048
20-Apr-16,Apple iOS,8693
20-Apr-16,Chrome OS,265
20-Apr-16,Other,206
20-Apr-16,Microsoft Windows Phone/Mobile,189
20-Apr-16,Nokia,92
20-Apr-16,UNIX,85
21-Apr-16,Microsoft Windows,158834
21-Apr-16,GNU/Linux,40044
21-Apr-16,Apple Macintosh,27060
21-Apr-16,Google Android,10461
21-Apr-16,Apple iOS,7288
21-Apr-16,Other,1472
21-Apr-16,Chrome OS,268
21-Apr-16,Microsoft Windows Phone/Mobile,235
21-Apr-16,Nokia,100
21-Apr-16,UNIX,92
22-Apr-16,Microsoft Windows,130834
22-Apr-16,GNU/Linux,35481
22-Apr-16,Apple Macintosh,22940
22-Apr-16,Google Android,9196
22-Apr-16,Apple iOS,6296
22-Apr-16,Other,2831
22-Apr-16,Chrome OS,183
22-Apr-16,Microsoft Windows Phone/Mobile,182
22-Apr-16,UNIX,86
22-Apr-16,Nokia,82
23-Apr-16,Microsoft Windows,44236
23-Apr-16,GNU/Linux,16259
23-Apr-16,Apple Macintosh,11295
23-Apr-16,Google Android,9624
23-Apr-16,Apple iOS,6879
23-Apr-16,Other,2846
23-Apr-16,Chrome OS,455
23-Apr-16,Microsoft Windows Phone/Mobile,193
23-Apr-16,Nokia,85
23-Apr-16,Blackberry,70
24-Apr-16,Microsoft Windows,52124
24-Apr-16,GNU/Linux,16358
24-Apr-16,Apple Macintosh,11213
24-Apr-16,Google Android,8741
24-Apr-16,Apple iOS,5798
24-Apr-16,Other,3011
24-Apr-16,Chrome OS,164
24-Apr-16,Microsoft Windows Phone/Mobile,154
24-Apr-16,Nokia,104
24-Apr-16,Blackberry,58
25-Apr-16,Microsoft Windows,159714
25-Apr-16,GNU/Linux,40363
