Date,Operating System Types,Visits
3-Mar-16,Other,34
4-Mar-16,Microsoft Windows,12577
4-Mar-16,GNU/Linux,4677
4-Mar-16,Google Android,3135
4-Mar-16,Apple Macintosh,3088
4-Mar-16,Apple iOS,1626
4-Mar-16,Microsoft Windows Phone/Mobile,85
4-Mar-16,Chrome OS,79
4-Mar-16,Nokia,48
4-Mar-16,Blackberry,37
4-Mar-16,Other,35
5-Mar-16,Microsoft Windows,6816
5-Mar-16,GNU/Linux,3232
5-Mar-16,Google Android,2569
5-Mar-16,Apple Macintosh,1896
5-Mar-16,Apple iOS,1564
5-Mar-16,Chrome OS,67
5-Mar-16,Microsoft Windows Phone/Mobile,65
5-Mar-16,Nokia,32
5-Mar-16,Blackberry,21
5-Mar-16,Other,20
6-Mar-16,Microsoft Windows,7384
6-Mar-16,GNU/Linux,3115
6-Mar-16,Google Android,2514
6-Mar-16,Apple Macintosh,1965
6-Mar-16,Apple iOS,1450
6-Mar-16,Chrome OS,52
6-Mar-16,Nokia,50
6-Mar-16,Microsoft Windows Phone/Mobile,42
6-Mar-16,Blackberry,32
6-Mar-16,Other,29
7-Mar-16,Microsoft Windows,12852
7-Mar-16,GNU/Linux,4510
7-Mar-16,Apple Macintosh,3359
7-Mar-16,Google Android,2703
7-Mar-16,Apple iOS,1453
7-Mar-16,Chrome OS,95
7-Mar-16,Microsoft Windows Phone/Mobile,52
7-Mar-16,Nokia,39
7-Mar-16,Blackberry,30
7-Mar-16,Other,24
8-Mar-16,Microsoft Windows,14451
8-Mar-16,GNU/Linux,5139
8-Mar-16,Apple Macintosh,3628
8-Mar-16,Google Android,3194
8-Mar-16,Apple iOS,2009
8-Mar-16,Microsoft Windows Phone/Mobile,82
8-Mar-16,Chrome OS,75
8-Mar-16,Nokia,50
8-Mar-16,Blackberry,40
8-Mar-16,Other,20
9-Mar-16,Microsoft Windows,12342
9-Mar-16,GNU/Linux,4001
9-Mar-16,Apple Macintosh,2978
9-Mar-16,Google Android,2150
9-Mar-16,Apple iOS,1330
9-Mar-16,Microsoft Windows Phone/Mobile,62
9-Mar-16,Chrome OS,57
9-Mar-16,Nokia,43
9-Mar-16,Other,34
9-Mar-16,Blackberry,22
10-Mar-16,Microsoft Windows,15383
10-Mar-16,GNU/Linux,5390
10-Mar-16,Apple Macintosh,3887
10-Mar-16,Google Android,3573
10-Mar-16,Apple iOS,2152
10-Mar-16,Chrome OS,125
10-Mar-16,Microsoft Windows Phone/Mobile,75
10-Mar-16,Nokia,35
10-Mar-16,Blackberry,34
10-Mar-16,Other,33
11-Mar-16,Microsoft Windows,12370
11-Mar-16,GNU/Linux,3995
11-Mar-16,Apple Macintosh,2702
11-Mar-16,Google Android,2512
11-Mar-16,Apple iOS,1443
11-Mar-16,Chrome OS,72
11-Mar-16,Microsoft Windows Phone/Mobile,56
11-Mar-16,Nokia,45
11-Mar-16,Other,33
11-Mar-16,Blackberry,26
12-Mar-16,Microsoft Windows,6123
12-Mar-16,GNU/Linux,2729
12-Mar-16,Google Android,2030
12-Mar-16,Apple Macintosh,1678
12-Mar-16,Apple iOS,1299
12-Mar-16,Chrome OS,54
12-Mar-16,Microsoft Windows Phone/Mobile,44
12-Mar-16,Nokia,41
12-Mar-16,Other,26
12-Mar-16,Blackberry,21
13-Mar-16,Microsoft Windows,6790
13-Mar-16,GNU/Linux,3015
13-Mar-16,Google Android,2520
13-Mar-16,Apple Macintosh,1822
13-Mar-16,Apple iOS,1367
13-Mar-16,Chrome OS,61
13-Mar-16,Nokia,40
13-Mar-16,Microsoft Windows Phone/Mobile,40
13-Mar-16,Other,27
13-Mar-16,Blackberry,25
14-Mar-16,Microsoft Windows,13437
14-Mar-16,GNU/Linux,4876
14-Mar-16,Google Android,3327
14-Mar-16,Apple Macintosh,3283
14-Mar-16,Apple iOS,1823
14-Mar-16,Chrome OS,99
14-Mar-16,Microsoft Windows Phone/Mobile,62
14-Mar-16,Nokia,55
14-Mar-16,Other,27
14-Mar-16,Blackberry,25
15-Mar-16,Microsoft Windows,13346
15-Mar-16,GNU/Linux,4603
15-Mar-16,Google Android,3866
15-Mar-16,Apple Macintosh,3198
15-Mar-16,Apple iOS,2425
15-Mar-16,Chrome OS,81
15-Mar-16,Microsoft Windows Phone/Mobile,66
15-Mar-16,Nokia,47
15-Mar-16,Other,37
15-Mar-16,Blackberry,34
16-Mar-16,Microsoft Windows,14074
16-Mar-16,GNU/Linux,4988
16-Mar-16,Google Android,4062
16-Mar-16,Apple Macintosh,3141
16-Mar-16,Apple iOS,2955
16-Mar-16,Chrome OS,84
16-Mar-16,Microsoft Windows Phone/Mobile,80
16-Mar-16,Nokia,50
16-Mar-16,Blackberry,36
16-Mar-16,Other,31
17-Mar-16,Microsoft Windows,12632
17-Mar-16,GNU/Linux,4086
17-Mar-16,Google Android,3232
17-Mar-16,Apple Macintosh,3027
17-Mar-16,Apple iOS,1882
17-Mar-16,Chrome OS,67
17-Mar-16,Microsoft Windows Phone/Mobile,62
17-Mar-16,Nokia,34
17-Mar-16,Other,34
17-Mar-16,Blackberry,25
18-Mar-16,Microsoft Windows,14806
18-Mar-16,Google Android,5419
18-Mar-16,GNU/Linux,5137
18-Mar-16,Apple Macintosh,4152
18-Mar-16,Apple iOS,3492
18-Mar-16,Microsoft Windows Phone/Mobile,238
18-Mar-16,Chrome OS,101
18-Mar-16,Other,47
18-Mar-16,Nokia,41
18-Mar-16,Blackberry,35
19-Mar-16,Microsoft Windows,7488
19-Mar-16,Google Android,4578
19-Mar-16,GNU/Linux,3497
19-Mar-16,Apple iOS,2938
19-Mar-16,Apple Macintosh,2576
19-Mar-16,Microsoft Windows Phone/Mobile,167
19-Mar-16,Chrome OS,79
19-Mar-16,Nokia,37
19-Mar-16,Other,33
19-Mar-16,Blackberry,27
20-Mar-16,Microsoft Windows,7027
20-Mar-16,GNU/Linux,3025
20-Mar-16,Google Android,2832
20-Mar-16,Apple Macintosh,2027
20-Mar-16,Apple iOS,1774
20-Mar-16,Microsoft Windows Phone/Mobile,64
20-Mar-16,Chrome OS,58
20-Mar-16,Nokia,39
20-Mar-16,Blackberry,23
20-Mar-16,Other,22
21-Mar-16,Microsoft Windows,12195
21-Mar-16,GNU/Linux,3919
21-Mar-16,Apple Macintosh,3223
21-Mar-16,Google Android,2510
21-Mar-16,Apple iOS,1536
21-Mar-16,Chrome OS,71
21-Mar-16,Microsoft Windows Phone/Mobile,53
21-Mar-16,Nokia,46
21-Mar-16,Other,41
21-Mar-16,Blackberry,27
22-Mar-16,Microsoft Windows,13253
22-Mar-16,GNU/Linux,4100
22-Mar-16,Apple Macintosh,3402
22-Mar-16,Google Android,3065
22-Mar-16,Apple iOS,1972
22-Mar-16,Microsoft Windows Phone/Mobile,82
22-Mar-16,Chrome OS,66
22-Mar-16,Other,29
22-Mar-16,Nokia,27
22-Mar-16,Blackberry,26
23-Mar-16,Microsoft Windows,11466
23-Mar-16,GNU/Linux,3446
23-Mar-16,Apple Macintosh,3013
23-Mar-16,Google Android,2454
23-Mar-16,Apple iOS,1597
23-Mar-16,Microsoft Windows Phone/Mobile,84
23-Mar-16,Chrome OS,58
23-Mar-16,Nokia,38
23-Mar-16,Other,35
23-Mar-16,Blackberry,27
24-Mar-16,Microsoft Windows,12846
24-Mar-16,Google Android,5005
24-Mar-16,GNU/Linux,4430
24-Mar-16,Apple iOS,4332
24-Mar-16,Apple Macintosh,3205
24-Mar-16,Microsoft Windows Phone/Mobile,108
24-Mar-16,Chrome OS,77
24-Mar-16,Other,49
24-Mar-16,Blackberry,45
24-Mar-16,Nokia,43
25-Mar-16,Microsoft Windows,9172
25-Mar-16,GNU/Linux,3361
25-Mar-16,Google Android,3281
25-Mar-16,Apple Macintosh,2398
25-Mar-16,Apple iOS,2153
25-Mar-16,Microsoft Windows Phone/Mobile,92
25-Mar-16,Chrome OS,56
